id,member_id,date,title,tags,prefecture,venue,setlist_main,setlist_encore
113,0,2015/05/17,私立恵比寿中学飛び出せ全十ホールツアー 2015～わっくわくはるバルーンGOGO～,春ツアー,広島県,アステールプラザ 大ホール,えびぞりダイアモンド!!|キングオブ学芸会のテーマ～Nu Skool Teenage Riot～|未確認中学生X|金八DANCE MUSIC |禁断のカルマ|売れたいエモーション!|梅|大漁恵比寿節|早弁ラップ|バタフライエフェクト|ちちんぷい|テブラデスキー～青春リバティ～|誘惑したいや|どしゃぶりリグレット|アンコールの恋|フユコイ|PLAYBACK|頑張ってる途中|大人はわかってくれない|仮契約のシンデレラ|ハイタテキ!|放課後ゲタ箱ロッケンロールMX|幸せの貼り紙はいつも背中に|涙は似合わない|買い物しようと町田へ,
112,0,2015/05/09,私立恵比寿中学飛び出せ全十ホールツアー 2015～わっくわくはるバルーンGOGO～,春ツアー,北海道,札幌市教育文化会館 大ホール,ちちんぷい|キングオブ学芸会のテーマ～Nu Skool Teenage Riot～|未確認中学生X|金八DANCE MUSIC |梅|禁断のカルマ|あたしきっと無限ルーパー|大漁恵比寿節|早弁ラップ|バタフライエフェクト|テブラデスキー～青春リバティ～|誘惑したいや|ラブリースマイリーベイビー|どしゃぶりリグレット|アンコールの恋|フユコイ|PLAYBACK|頑張ってる途中|I'm your MANAGER!!!|仮契約のシンデレラ|ハイタテキ!|放課後ゲタ箱ロッケンロールMX|フレ!フレ!サイリウム |幸せの貼り紙はいつも背中に|買い物しようと町田へ,
111,0,2015/05/06,私立恵比寿中学飛び出せ全十ホールツアー 2015～わっくわくはるバルーンGOGO～,春ツアー,福岡県,福岡国際会議場 メインホール,ちちんぷい|キングオブ学芸会のテーマ～Nu Skool Teenage Riot～|未確認中学生X|金八DANCE MUSIC |梅|禁断のカルマ|踊るガリ勉中学生|大漁恵比寿節|早弁ラップ|バタフライエフェクト|テブラデスキー～青春リバティ～|誘惑したいや|ラブリースマイリーベイビー|どしゃぶりリグレット|アンコールの恋|フユコイ|PLAYBACK|頑張ってる途中|大人はわかってくれない|仮契約のシンデレラ|ハイタテキ!|放課後ゲタ箱ロッケンロールMX|幸せの貼り紙はいつも背中に|手をつなごう|買い物しようと町田へ,
110,0,2015/05/04,私立恵比寿中学飛び出せ全十ホールツアー 2015～わっくわくはるバルーンGOGO～,春ツアー,愛知県,名古屋市公会堂 大ホール,ちちんぷい|キングオブ学芸会のテーマ～Nu Skool Teenage Riot～|未確認中学生X|金八DANCE MUSIC |梅|禁断のカルマ|踊るガリ勉中学生|大漁恵比寿節|早弁ラップ|バタフライエフェクト|テブラデスキー～青春リバティ～|誘惑したいや|ラブリースマイリーベイビー|揚げろ!エビフライ|アンコールの恋|フユコイ|PLAYBACK|頑張ってる途中|I'm your MANAGER!!!|仮契約のシンデレラ|ハイタテキ!|放課後ゲタ箱ロッケンロールMX|Go!Go!Here We Go!ロック・リー|Lon de Don|買い物しようと町田へ,
109,0,2015/04/29,私立恵比寿中学飛び出せ全十ホールツアー 2015～わっくわくはるバルーンGOGO～,春ツアー,和歌山県,和歌山市民会館 大ホール,Go!Go!Here We Go!ロック・リー|キングオブ学芸会のテーマ～Nu Skool Teenage Riot～|未確認中学生X|金八DANCE MUSIC|禁断のカルマ|売れたいエモーション!|梅|大漁恵比寿節|早弁ラップ|バタフライエフェクト|ちちんぷい|テブラデスキー～青春リバティ～|誘惑したいや|どしゃぶりリグレット|アンコールの恋|フユコイ|PLAYBACK|頑張ってる途中|I'm your MANAGER!!!|仮契約のシンデレラ|ハイタテキ!|放課後ゲタ箱ロッケンロールMX|幸せの貼り紙はいつも背中に|永遠に中学生|買い物しようと町田へ,
108,0,2015/04/26,ニコニコ超会議2015「超演奏してみた supported by サークルKサンクス」,,千葉県,幕張メッセ,えびぞりダイアモンド!!|ザ・ティッシュ～とまらない青春～|ちちんぷい|梅|ハイタテキ!|HAPPY（カヴァー）,
107,0,2015/04/25,私立恵比寿中学飛び出せ全十ホールツアー 2015～わっくわくはるバルーンGOGO～,春ツアー,千葉県,森のホール21 大ホール,ちちんぷい|キングオブ学芸会のテーマ～Nu Skool Teenage Riot～|未確認中学生X|金八DANCE MUSIC|禁断のカルマ|大人はわかってくれない|踊るガリ勉中学生|大漁恵比寿節|早弁ラップ|バタフライエフェクト|テブラデスキー～青春リバティ～|誘惑したいや|ラブリースマイリーベイビー|どしゃぶりリグレット|アンコールの恋|フユコイ|PLAYBACK|頑張ってる途中|I'm your MANAGER!!!|仮契約のシンデレラ|ハイタテキ!|放課後ゲタ箱ロッケンロールMX|フレ!フレ!サイリウム|幸せの貼り紙はいつも背中に|買い物しようと町田へ,
106,0,2015/04/19,私立恵比寿中学飛び出せ全十ホールツアー 2015～わっくわくはるバルーンGOGO～,春ツアー,新潟県,新潟テルサ,ちちんぷい|キングオブ学芸会のテーマ～Nu Skool Teenage Riot～|未確認中学生X|金八DANCE MUSIC|禁断のカルマ|大人はわかってくれない|梅|大漁恵比寿節|早弁ラップ|バタフライエフェクト|テブラデスキー～青春リバティ～|誘惑したいや|涙は似合わない|どしゃぶりリグレット|アンコールの恋|フユコイ|PLAYBACK|頑張ってる途中|I'm your MANAGER!!!|仮契約のシンデレラ|ハイタテキ!|放課後ゲタ箱ロッケンロールMX|幸せの貼り紙はいつも背中に|手をつなごう|買い物しようと町田へ,
105,0,2015/04/11,私立恵比寿中学飛び出せ全十ホールツアー 2015～わっくわくはるバルーンGOGO～,春ツアー,宮城県,東京エレクトロンホール宮城,ちちんぷい|キングオブ学芸会のテーマ～Nu Skool Teenage Riot～|未確認中学生X|金八DANCE MUSIC|禁断のカルマ|大人はわかってくれない|あたしきっと無限ルーパー|大漁恵比寿節|早弁ラップ|バタフライエフェクト|テブラデスキー～青春リバティ～|誘惑したいや|チュパカブラ|どしゃぶりリグレット|アンコールの恋|フユコイ|PLAYBACK|頑張ってる途中|I'm your MANAGER!!!|仮契約のシンデレラ|ハイタテキ!|放課後ゲタ箱ロッケンロールMX|幸せの貼り紙はいつも背中に|永遠に中学生|買い物しようと町田へ,
104,0,2015/02/07,ブラックタイガー会員限定イベント～秘密結社の集い（内緒で来てください）～,FCイベント,千葉県,幕張メッセ イベントホール,金八DANCE MUSIC～MステSPヴァージョン～|大漁恵比寿節|U.B.U.|バタフライエフェクト|またあえるかな@小林歌穂|一生 一緒 いいっしょ?@中山莉子|ぁぃぁぃといく日本全国鉄道の旅@真山りか|キミに39@廣田あいか|アンタ@松野莉奈|仮契約のシンデレラ@星名美怜|売れたいエモーション!@安本彩花|大好きだよ@柏木ひなた|ちちんぷい|未確認中学生X|揚げろ!エビフライ|フユコイ|涙は似合わない|チュパカブラ|幸せの貼り紙はいつも背中に|ハイタテキ!|手をつなごう|蛍の光,
